Province,Districts,Reporting Sites (ARS/Total),Total Reported Sites
Khyber Pakhtunkhwa,Haripur,,
,Lakki Marwat,,
Azad Jammu Kashmir,Mirpur,,
Islamabad Capital Territory,Islamabad,,
Baluchistan,Gwadar,,
,Kech,,
,Killa Abdullah,,
Gilgit,Hunza,,
Sindh,Hyderabad,,
